Wavelength(nm)	Sample_S1_Abs_coeff(1/cm)	Sample_S2_Abs_coeff(1/cm)
189.07	3.05411195	100.96822792
189.54	3.11807421	101.03219018
190.01	3.17845212	101.09256809
190.48	3.2845313	-18.9365008
190.95	2.73960261	16.54492995
191.41	-8.70404367	-5.51764637
191.88	-34.35963094	-39.71794785
192.35	-22.85437803	-57.45078406
192.82	13.94805551	15.75287293
193.29	-2.0136469	7.69249235
193.75	50.50304777	-52.13949478
194.22	17.71287917	-21.71880253
194.69	0.93319439	17.92491904
195.16	6.01300625	29.38993671
195.63	-29.93337406	-10.37714557
196.09	-54.88772883	8.30424961
196.56	-29.03850316	30.63654049
197.03	21.653799	44.39813319
197.5	-35.8358513	-62.29820959
197.96	-31.70669842	53.88424023
198.43	-29.37604148	-3.2758585
198.9	-30.44792273	-13.90411336
199.37	-82.09597827	-76.49684912
199.83	179.6345365	179.6345365
200.3	28.20388885	-29.19001461
200.77	-116.43614403	-111.52690038
201.24	-55.56755244	-57.23148812
201.7	-14.13685684	20.71719419
202.17	58.99005243	-5.40515927
202.64	-10.22999653	-6.54291972
203.1	-26.26843965	-36.77117641
203.57	24.93901647	-25.65424019
204.04	-1.3095286	-24.89924758
204.51	28.28834909	75.74548888
204.97	88.75192941	27.98731845
205.44	3.45358546	-7.24948861
205.91	2.64595855	51.04037633
206.37	11.79044072	29.66151187
206.84	-38.59698032	-38.59698032
207.31	10.51014375	60.95383116
207.77	35.78645985	100
208.24	-6.09190344	20.37746623
208.71	15.95019432	-25.84652699
209.17	-82.62240077	-20.27146145
209.64	84.26370683	74.26166666
210.1	-43.4018024	-35.04951204
210.57	-27.78656876	126.42307089
211.04	-1.26620001	21.30480064
211.5	-15.90598038	-3.82757301
211.97	49.32560407	9.57783011
212.44	-100.84053966	-109.45937483
212.9	81.65056635	13.40028351
213.37	-48.296211	-0.39183834
213.83	-14.62940199	-20.25317249
214.3	27.30634563	27.30634563
214.77	-8.0316894	16.6491403
215.23	103.70179355	27.6573133
215.7	7.57164671	141.05932877
216.16	-24.24380037	-0.71463075
216.63	16.55043601	-4.95834496
217.09	-69.76136191	13.89514965
217.56	-62.30999639	-41.71497221
218.03	27.74976713	173.46318775
218.49	-3.9037456	-36.84902165
218.96	-16.40346493	16.62045405
219.42	17.73080173	39.58493528
219.89	7.89016835	46.72325512
220.35	3.49803416	-43.03084227
220.82	24.69475257	24.0366265
221.28	8.69858103	46.9108764
221.75	-65.77531465	-31.47385873
222.21	-25.10669354	-13.78798761
222.68	-10.2529599	10.83797462
223.14	23.41628722	-7.73396858
223.61	43.35026979	67.68017926
224.07	35.99775299	1.30542333
224.54	57.99596528	1.28397592
225	30.4682843	97.01764192
225.47	-80.22852072	-79.44016253
225.93	0.12006868	-18.561494
226.4	-31.73685863	28.96051583
226.86	19.27172403	27.45125502
227.33	29.03297393	119.25271334
227.79	-3.11368055	5.20720505
228.26	77.20592858	3.91063102
228.72	-5.70851595	-3.69532354
229.18	-72.79010312	40.72622442
229.65	-14.3796468	6.51904115
230.11	-102.888758	-145.3304432
230.58	68.37248862	33.80402531
231.04	-18.94487795	-19.22424771
231.51	-10.92701775	11.85767772
231.97	39.18854182	24.98978406
232.43	-19.77278993	-11.69836912
232.9	95.77483643	55.8935366
233.36	-31.19963992	-75.05573364
233.83	3.41438341	14.02973918
234.29	67.61008988	19.06177496
234.75	-23.33663107	-28.5560199
235.22	-54.79938192	-52.40673301
235.68	32.48105514	-2.08740818
236.14	41.38564532	15.93568476
236.61	-6.86418482	63.67367261
237.07	50.19372104	-23.773322
237.53	60.51844144	-103.10840483
238	-15.23313704	21.90295517
238.46	-65.00543622	-65.00543622
238.93	1.71257473	-37.29085322
239.39	-12.06360053	-22.18406058
239.85	-19.50428342	-8.29519446
240.31	118.36040123	-0.94162024
240.78	-4.79393795	55.84441104
241.24	-166.0493479	-144.99634396
241.7	18.63579189	61.93769933
242.17	3.4803373	64.58572599
242.63	63.75557351	18.08070836
243.09	-6.21199249	7.45694472
243.56	-2.88222015	85.18414683
244.02	22.81482697	29.35918089
244.48	-43.48289187	-31.07186848
244.94	-29.11042208	-1.40147325
245.41	18.36031272	-50.52760884
245.87	19.25679584	19.96128745
246.33	-2.67003906	11.15035497
246.8	58.57971346	17.44668322
247.26	-8.62730212	41.46899945
247.72	-2.74643949	103.00587781
248.18	76.24764681	33.65372245
248.64	165.95854577	-20.77476467
249.11	-34.55116541	-11.89124774
249.57	-32.26448042	-45.05899681
250.03	-61.39425743	-66.19617912
250.49	23.6656818	3.09711652
250.96	-16.85026457	-24.92468538
251.42	-3.03828051	18.3838608
251.88	1.28012529	-16.53104606
252.34	-4.55091243	-5.9120509
252.8	-65.67598717	-72.1016595
253.27	-4.80773982	-29.57248996
253.73	8.8078633	30.78114097
254.19	7.52823071	32.21406536
254.65	-193.29744763	-186.8955386
255.11	-113.25180793	-128.11160429
255.57	36.81163728	3.70234383
256.04	-32.44999783	27.62470022
256.5	-6.94474998	-29.64045869
256.96	-30.142864	-49.6279773
257.42	82.20019574	-45.12145914
257.88	6.70806329	14.35209476
258.34	138.58187621	110.85598899
258.8	-4.98813962	1.26401354
259.27	-134.34185876	-131.49506357
259.73	26.10565223	33.64500621
260.19	7.65474705	15.80749312
260.65	-2.30875753	17.91141158
261.11	8.08526734	22.14221735
261.57	-13.55747922	-11.66335549
262.03	-38.94537281	-25.95797433
262.49	41.35355342	13.65334838
262.95	-3.07854062	16.3876699
263.41	-27.89602059	70.86184462
263.88	13.16477769	42.29902497
264.34	-6.22254662	91.07517659
264.8	-9.24007803	-5.16999333
265.26	52.85109796	-6.83721489
265.72	-14.40353378	-6.9710752
266.18	39.05568785	-4.86572899
266.64	-4.85788742	-6.27466677
267.1	-11.900444	50.74449532
267.56	83.38605916	28.00056476
268.02	85.48461152	-1.7295187
268.48	-32.35182157	-44.29288098
268.94	-21.11204516	11.8332309
269.4	-39.07052279	-8.97894822
269.86	66.59961123	81.70186403
270.32	190.8431888	98.58010423
270.78	35.96302562	10.23755522
271.24	-6.14213349	53.75989893
271.7	-14.06707751	-34.91328369
272.16	34.06016406	179.77358468
272.62	-9.19225288	-7.63077436
273.08	-5.58627522	4.33911579
273.54	-1.61133445	-5.86148241
274	-15.7894989	-5.78745873
274.46	62.54003649	41.78828475
274.92	14.64361421	-11.29555106
275.38	197.21151423	1.10733223
275.84	37.92060315	4.28288841
276.3	86.12741299	-70.14496455
276.76	1.50617662	-23.33923019
277.22	-3.85032875	-34.59500981
277.68	-40.87913676	-11.72493118
278.14	-4.47535215	-75.83911385
278.59	6.57612522	12.62593408
279.05	-13.41570412	-25.62049478
279.51	-4.75126283	5.41521295
279.97	-98.64931632	-45.14962237
280.43	106.11996204	60.32500178
280.89	106.32075067	-2.401366
281.35	2.77899035	28.34766388
281.81	-40.04260592	-25.78167382
282.27	90.11307014	-19.92058067
282.72	-1.09887669	-18.10974145
283.18	12.5262451	32.56449491
283.64	63.69082353	-9.73665423
284.1	-15.66574477	-4.53589437
284.56	-26.02066715	-28.90366867
285.02	12.51190127	49.31902808
285.48	-35.3130253	-13.29882653
285.93	-101.35735212	-186.18205036
286.39	37.81747482	11.04314207
286.85	-17.65712618	-19.36893609
287.31	44.74705902	-10.99638946
287.77	63.94840978	40.9117262
288.23	26.69551482	-24.75192351
288.68	-45.7255466	-95.63327657
289.14	16.51588723	64.82675953
289.6	2.81595409	-9.4470936
290.06	-16.06733087	-59.10416597
290.52	68.65346511	10.13567427
290.97	-38.7691086	-6.0663203
291.43	11.57666094	153.97302386
291.89	10.78725717	-6.40958235
292.35	-3.12530354	-60.00230734
292.81	37.48361906	24.11929229
293.26	24.86280414	29.84435717
293.72	5.44041331	70.31237368
294.18	-15.92033643	-18.48971267
294.64	-38.81217871	62.67002077
295.09	-0.10942824	18.07073794
295.55	-104.05747636	14.43216951
296.01	31.17374891	8.95236406
296.46	-14.15523204	-15.18325536
296.92	21.00910713	8.7972617
297.38	44.4070409	115.23951722
297.84	-34.12756376	-8.33358971
298.29	6.075776	80.46713033
298.75	-116.51605024	-13.08759628
299.21	40.00507772	82.44676292
299.66	-19.21264157	-16.55506064
300.12	28.96298442	89.57444367
300.58	-10.06711712	-38.71512909
301.03	-11.25462264	14.83926539
301.49	-30.2955708	1.66685483
301.95	-38.78844309	-61.7432628
302.4	15.76540892	2.00542774
302.86	-3.33592834	65.8686839
303.32	-6.86159075	-6.86159075
303.77	-25.95702463	-4.54114925
304.23	23.11509461	-10.88312574
304.69	75.15388718	-4.87949619
305.14	6.04973049	40.39403606
305.6	118.54291084	-27.50419264
306.06	-38.11812732	2.93415504
306.51	35.95822066	-17.16856819
306.97	-12.54920636	17.39458284
307.42	-47.81045467	-34.72512408
307.88	-80.76493403	-27.74005582
308.34	-5.21843875	-0.33704347
308.79	-60.0277297	-34.26987693
309.25	-17.87634338	-44.43118678
309.7	-40.11354465	-23.23784136
310.16	27.42716758	42.50187562
310.62	35.64163736	1.41323655
311.07	-25.39838283	-63.76792765
311.53	-3.98224028	-12.13467851
311.98	23.03995062	29.64979832
312.44	-19.99039157	-0.2442988
312.89	5.67833174	55.51236553
313.35	42.94189545	29.65406826
313.8	55.75333015	-3.85311883
314.26	17.4448043	18.65116834
314.72	10.68056288	-15.27708064
315.17	46.5428438	95.80017187
315.63	-17.55214881	-85.75815937
316.08	21.63553532	73.01521185
316.54	-55.46068996	-29.67148671
316.99	-27.11102868	-14.04598577
317.45	-30.30678259	-23.87034568
317.9	-25.55757017	-18.6052615
318.36	-3.48984068	-9.36445496
318.81	-20.06465926	0.13348539
319.27	31.11609927	-19.47593861
319.72	-11.24966374	24.93081757
320.17	-34.20178038	-34.92687576
320.63	-15.35644112	49.51551925
321.08	5.14021183	-8.91880772
321.54	30.23635116	26.71625136
321.99	-0.12328514	-7.129936
322.45	20.40166138	69.62796546
322.9	6.17464669	3.25601993
323.36	-6.2293756	-32.04386831
323.81	11.36273652	-22.42707692
324.26	-56.97500667	-20.61441227
324.72	24.06479442	1.57353944
325.17	43.55117058	48.24037423
325.63	39.24963182	-51.97697544
326.08	10.96086944	46.28707625
326.54	30.10475133	31.21040492
326.99	-100.7874739	-123.82415747
327.44	51.36514167	24.37085096
327.9	-21.08381007	-39.02231923
328.35	3.00031989	-31.27912273
328.8	9.68555646	58.66468665
329.26	2.01548395	28.46101606
329.71	46.79546881	-0.59032305
330.17	51.70723121	138.27079184
330.62	59.92552285	-9.64875793
331.07	-8.13063279	83.84558482
331.53	-119.82483349	-143.94778467
331.98	-6.54916456	10.02897626
332.43	34.14093803	8.79814647
332.89	48.3949087	3.40268832
333.34	56.5916931	18.23578266
333.79	63.50578802	14.24845995
334.25	67.28065259	-38.47166471
334.7	1.94266949	12.94361651
335.15	31.51932891	76.06533555
335.6	156.05581412	36.02702152
336.06	69.21966699	0.66252761
336.51	1.23422798	-2.82063918
336.96	-0.89302609	7.90295105
337.42	Inf	20.45526966
337.87	16.21224724	9.73249295
338.32	51.84312893	33.42687988
338.77	3.93053862	-18.44116841
339.23	-11.46369254	-4.6735863
339.68	127.17869568	16.07564513
340.13	92.47726206	15.91817798
340.58	41.52636459	-16.54091407
341.04	Inf	-36.32191622
341.49	76.42158004	2.9277315
341.94	62.04137668	138.08585692
342.39	40.37707414	23.88859968
342.85	-43.81808768	10.93801706
343.3	5.15778819	-18.73491802
343.75	23.05502949	10.31688025
344.2	49.61639456	-5.20018058
344.65	72.37250609	12.33169707
345.11	21.59653965	112.50905703
345.56	38.3171214	39.35077064
346.01	33.60374983	-20.88874603
346.46	85.78873869	81.5920211
346.91	29.57287589	-8.47185269
347.36	32.5284049	-4.44472062
347.82	20.39848838	-11.94111957
348.27	68.22296589	-10.46400371
