Wavelength(nm)	S1_532(arb.units)	S1_450(arb.units)	S1_400(arb.units)
189.07	0.00211659	0.00105117	0
189.54	0.00211659	0.00105117	0
190.01	0.00211659	0.00105117	0
190.48	0.00149685	9.445E-5	0
190.95	0.00398688	-5.2304E-4	0
191.41	7.9117E-4	-9.9246E-4	0
191.88	5.462E-4	-5.87E-5	0
192.35	-9.5685E-4	-0.00174504	0
192.82	0.00100602	-0.00143629	0
193.29	-0.00256489	7.72E-6	0
193.75	5.6437E-4	-0.00152566	0
194.22	-0.00103615	-8.649E-4	0
194.69	0.00177372	-8.8521E-4	0
195.16	-4.4299E-4	-0.00113282	0
195.63	-0.00288562	-0.00116329	0
196.09	0.00208957	-0.00112246	0
196.56	-6.113E-5	-7.9604E-4	0
197.03	0.00408168	2.64E-6	0
197.5	7.5131E-4	-4.5154E-4	0
197.96	0.00272747	-0.00210477	0
198.43	2.5693E-4	-7.8568E-4	0
198.9	-1.0454E-4	-9.2096E-4	0
199.37	0.00191415	-6.7092E-4	0
199.83	0.00470939	6.5061E-4	0
200.3	0.00652741	0.00236233	0
200.77	0.00486842	0.00112003	0
201.24	0.00763709	3.4186E-4	0
201.7	0.00744218	7.7309E-4	0
202.17	0.00487152	-1.5316E-4	0
202.64	0.00636838	7.394E-5	0
203.1	0.00405377	0.00240316	0
203.57	0.00609373	0.00124495	0
204.04	0.00559847	0.00192866	0
204.51	0.0039603	0.00261238	0
204.97	0.00439664	0.00195933	0
205.44	0.00585894	3.4694E-4	0
205.91	0.00785858	-2.0658E-4	0
206.37	0.00810311	3.904E-4	0
206.84	0.00897668	-4.5419E-4	0
207.31	0.00740098	5.5879E-4	0
207.77	0.00417382	0.00190063	0
208.24	0.00268849	3.6481E-4	0
208.71	0.00551164	4.3123E-4	0
209.17	0.00444094	0.00113282	0
209.64	0.00696951	5.0517E-4	0
210.1	0.0047971	-6.886E-5	0
210.57	0.00419508	-2.73E-4	0
211.04	0.00281429	-3.8776E-4	0
211.5	0.0033729	-1.1477E-4	0
211.97	0.0076269	0.00158945	0
212.44	0.00467705	-9.445E-5	0
212.9	0.00444449	-5.87E-5	0
213.37	0.00571409	-1.28E-5	0
213.83	0.00563745	0.00287786	0
214.3	0.00494728	-2.64E-6	0
214.77	0.00426198	0.00121956	0
215.23	0.00241826	0.00137251	0
215.7	0.00424647	0.00138795	0
216.16	0.00465269	9.7195E-4	0
216.63	6.7998E-4	-6.0978E-4	0
217.09	0.00310002	0.00127562	0
217.56	0.00414281	0.00167354	0
218.03	0.00174581	-5.08E-6	0
218.49	0.00389341	0.0012679	0
218.96	0.00211659	3.575E-5	0
219.42	0.00425976	-8.8014E-4	0
219.89	0.00317267	-0.00142106	0
220.35	0.00381677	-5.5108E-4	0
220.82	0.00777707	0.00115578	0
221.28	0.0035811	0.00117873	0
221.75	0.00475591	0.0013981	0
222.21	0.00600247	7.5014E-4	0
222.68	0.00515194	-8.937E-5	0
223.14	0.00325507	-3.7253E-4	0
223.61	0.00526667	-6.0206E-4	0
224.07	0.0031616	0.00124251	0
224.54	0.00355851	7.3978E-4	0
225	0.00343492	1.5051E-4	0
225.47	0.00571187	0.00186752	0
225.93	0.00491848	3.1383E-4	0
226.4	0.00463896	6.6076E-4	0
226.86	0.0053814	5.6895E-4	0
227.33	0.00378576	7.8568E-4	0
227.79	0.00229246	-6.9143E-4	0
228.26	0.00575307	0.00128842	0
228.72	0.00295428	0.00169141	0
229.18	0.00326836	-9.49E-4	0
229.65	0.00587666	6.9143E-4	0
230.11	0.00447328	8.062E-4	0
230.58	0.00589748	8.4703E-4	0
231.04	0.00453663	1.887E-4	0
231.51	0.00555594	0.00229855	0
231.97	0.0098126	-5.0517E-4	0
232.43	0.00472578	8.0864E-4	0
232.9	0.00338708	0.00197213	0
233.36	0.00604367	7.7045E-4	0
233.83	0.00182821	8.8786E-4	0
234.29	0.00495303	5.6631E-4	0
234.75	0.00634844	0.00254108	0
235.22	0.00639407	0.00179358	0
235.68	0.00472711	6.5061E-4	0
236.14	0.0028865	6.6584E-4	0
236.61	0.00514972	7.9604E-4	0
237.07	0.00236245	0.00139546	0
237.53	0.00426419	0.00119132	0
238	0.00338398	0.00129593	0
238.46	0.00389917	0.00160732	0
238.93	0.00697173	0.00158437	0
239.39	9.3825E-4	9.3112E-4	0
239.85	0.00272082	0.00149499	0
240.31	0.00596792	0.00130873	0
240.78	0.00406042	0.00139302	0
241.24	0.00433773	6.7092E-4	0
241.7	0.00209976	0.00118117	0
242.17	0.00433551	-0.00198493	0
242.63	0.00446221	5.3828E-4	0
243.09	0.00385576	-3.1119E-4	0
243.56	0.00268937	6.0206E-4	0
244.02	0.00385221	0.0011251	0
244.48	0.00473464	0.00101785	0
244.94	0.00473597	2.3481E-4	0
245.41	0.00436785	0.00104853	0
245.87	0.00187738	-5.7403E-4	0
246.33	0.00333037	0.00165566	0
246.8	5.5418E-4	1.3528E-4	0
247.26	0.00466376	0.00145924	0
247.72	0.0061872	0.0012092	0
