Wavelength (nm)	S2_532(arb.units)	S2_450(arb.units)	S2_400(arb.units)
189.07	6.698E-4	-0.00165323	0
189.54	6.698E-4	-0.00165323	0
190.01	6.698E-4	-0.00165323	0
190.48	0.00427881	-0.00266092	0
190.95	0.00131656	1.4036E-4	0
191.41	0.00323912	-0.00247222	0
191.88	-0.00268051	-0.00209969	0
192.35	0.00471825	-0.00205115	0
192.82	-5.5196E-4	-3.6481E-4	0
193.29	3.2825E-4	-0.00142106	0
193.75	-0.00177283	-0.00127054	0
194.22	0.00118942	-0.0018854	0
194.69	3.2737E-4	-0.002263	0
195.16	0.00144901	-0.00240844	0
195.63	0.00256711	-1.428E-4	0
196.09	0.00242358	-0.0010205	0
196.56	0.00283201	-8.166E-5	0
197.03	5.2095E-4	-7.6273E-4	0
197.5	0.00230885	-0.00137007	0
197.96	6.1309E-4	-8.8014E-4	0
198.43	0.00392929	-8.3687E-4	0
198.9	0.00468015	-8.6998E-4	0
199.37	-7.5662E-4	-0.00230383	0
199.83	0.00482058	-5.2304E-4	0
200.3	0.01476209	-8.0112E-4	0
200.77	0.01154512	-0.00260486	0
201.24	0.00830467	-0.00129085	0
201.7	0.00877734	-0.00157401	0
202.17	0.00976786	-0.00127562	0
202.64	0.0113759	-4.8729E-4	0
203.1	0.0085049	-0.00167862	0
203.57	0.00709488	4.2859E-4	0
204.04	0.00782403	-0.00128577	0
204.51	0.01174978	-9.0817E-4	0
204.97	0.00851376	2.7544E-4	0
205.44	0.00919729	-8.777E-4	0
205.91	0.00952776	-0.00143121	0
206.37	0.0096611	-0.00190571	0
206.84	0.00753033	-0.00132152	0
207.31	0.00973773	-4.1072E-4	0
207.77	0.00606582	-0.00218135	0
208.24	0.00480286	-0.00116593	0
208.71	0.00695799	-0.00232414	0
209.17	0.01122883	-4.083E-5	0
209.64	0.00730308	9.689E-5	0
210.1	0.00746787	-1.7103E-4	0
210.57	0.00564188	-1.787E-5	0
211.04	0.00771018	-0.00186752	0
211.5	0.00704482	-0.00128842	0
211.97	0.00829448	-8.5982E-4	0
212.44	0.00690262	-6.5568E-4	0
212.9	0.00411047	1.9642E-4	0
213.37	0.00615929	4.9745E-4	0
213.83	0.00552582	-6.9387E-4	0
214.3	0.00550367	-0.00122707	0
214.77	0.00938069	-9.7459E-4	0
215.23	0.00286302	3.0103E-4	0
215.7	0.00491405	-0.00131645	0
216.16	0.00654424	-6.0978E-4	0
216.63	0.00791307	-5.0761E-4	0
217.09	9.8609E-4	0.00112246	0
217.56	0.00636838	-0.00103065	0
218.03	0.00719853	-0.00199508	0
218.49	0.00745458	-0.0017424	0
218.96	0.00901567	-0.00123987	0
219.42	0.01071363	-7.2718E-4	0
219.89	0.00740098	-0.00131888	0
220.35	0.00704393	-5.5108E-4	0
220.82	0.00555151	1.3528E-4	0
221.28	0.00569504	-8.1128E-4	0
221.75	0.0053123	-0.00191851	0
222.21	0.00299769	-0.0011379	0
222.68	0.00604234	2.1694E-4	0
223.14	0.00703817	-0.00169913	0
223.61	0.00860502	-0.00131645	0
224.07	0.00572073	-0.00166602	0
224.54	0.00467129	-0.00104609	0
225	0.0045477	-0.00245171	0
225.47	0.00693584	-5.3056E-4	0
225.93	0.00614245	-1.4544E-4	0
226.4	0.00964648	-1.5559E-4	0
226.86	0.00994372	-7.0667E-4	0
227.33	0.00456454	1.7347E-4	0
227.79	0.00707716	-0.00160976	0
228.26	0.00686585	1.1477E-4	0
228.72	0.00707184	-4.347E-5	0
229.18	0.00838707	-0.00166338	0
229.65	0.00776822	-0.00145173	0
230.11	0.0033605	4.083E-5	0
230.58	0.00645387	-8.3687E-4	0
231.04	0.00742977	-0.00129085	0
231.51	0.00722511	5.1289E-4	0
231.97	0.00602905	5.606E-5	0
232.43	0.00439221	-5.87E-5	0
232.9	0.00950738	-3.2398E-4	0
233.36	0.00704482	-5.0517E-4	0
233.83	0.00461016	0.00114298	0
234.29	0.00840257	-4.03E-4	0
234.75	0.00679364	-0.00108164	0
235.22	0.00728403	-9.1081E-4	0
