Wavelength_(nm)	S1_1.3uJ(arb.units)	S1_15uJ(arb.units)	S1_400uJ(arb.units)
189.07	0.00373836	0.00129144	2.7192E-4
189.54	0.00373836	0.00129144	2.7192E-4
190.01	0.00373836	0.00129144	2.7192E-4
190.48	1.3596E-4	-3.738E-4	0.00166524
190.95	-9.5174E-4	2.7192E-4	-0.00176711
191.41	-1.3596E-4	-0.00156336	-0.00166524
191.88	0.0024806	0.00492752	0.00135922
192.35	3.0602E-4	-7.135E-4	-0.0014274
192.82	-0.00152927	-0.00387432	-0.00326229
193.29	0.00210681	-0.00135922	-7.4759E-4
193.75	-9.8542E-4	0.00176711	-0.00485974
194.22	0.00193716	1.0187E-4	0.0021409
194.69	0.0021409	-0.00122326	-2.0374E-4
195.16	-3.738E-4	1.3596E-4	0.00207312
195.63	2.7192E-4	-0.0024806	-0.00115548
196.09	-0.00135922	-0.00125735	-0.00227686
196.56	0.00438408	-0.00183529	-6.1163E-4
197.03	0.00159705	-0.00186898	0.00333047
197.5	0.00316042	-0.00163114	0.00234505
197.96	0.00108729	-0.00135922	-0.00451963
198.43	-9.1764E-4	-0.00275253	-0.00305855
198.9	-9.5174E-4	0.00139331	0.00139331
199.37	-0.00112139	-2.0374E-4	0
199.83	-0.00207312	-0.00186898	0.00118957
200.3	0.00139331	5.7754E-4	0.006083
200.77	-0.00176711	-0.00288849	-0.00105361
201.24	3.397E-4	-4.7567E-4	0.00339825
201.7	-0.00237873	0.00231096	9.8542E-4
202.17	0.00288849	0.00258288	0.00390801
202.64	7.135E-4	-3.0602E-4	6.1163E-4
203.1	-0.00254879	0	-5.0976E-4
203.57	9.8542E-4	0.00241283	0.00373836
204.04	0.00108729	-0.00186898	0.00261657
204.51	0.00115548	0.00329638	0.00472378
204.97	-0.00336456	-6.1163E-4	-0.00101952
205.44	-4.0789E-4	-8.1577E-4	0.0014274
205.91	-0.00329638	-0.00115548	-0.0024806
206.37	0.00132553	9.1764E-4	0.00417993
206.84	0.0014274	0.0042818	9.1764E-4
207.31	4.4198E-4	-8.8355E-4	0.00176711
207.77	6.4572E-4	0.00146149	0.00197085
208.24	-7.135E-4	0.00468969	0.00152927
208.71	2.7192E-4	-0.00176711	0.00353421
209.17	-3.738E-4	-0.00200494	0.00217499
209.64	0.00207312	0.00441776	0.00227686
210.1	0.00203903	-0.00203903	-1.0187E-4
210.57	0.00438408	0.00122326	0.00101952
211.04	-0.00173301	0.00254879	-3.0602E-4
211.5	0.00159705	1.7005E-4	5.7754E-4
211.97	4.4198E-4	-0.00343234	0.00217499
212.44	0.00118957	3.738E-4	4.7567E-4
212.9	-5.0976E-4	0.00132553	-2.0374E-4
213.37	0.00146149	0.00339825	0.00462191
213.83	0.00203903	3.0602E-4	-7.135E-4
214.3	0.00132553	-0.00244692	0.00275253
214.77	0.00234505	-0.00132553	0.00367017
215.23	2.0374E-4	3.0602E-4	0.00326229
215.7	0.00237873	0.00615118	0.00513167
216.16	0.00343234	3.738E-4	0.00210681
216.63	2.0374E-4	-0.0021409	0.00193716
217.09	-0.00101952	6.1163E-4	0.00254879
217.56	-8.8355E-4	0.00400988	0.00166524
218.03	6.1163E-4	-0.00101952	-0.00152927
218.49	-0.00166524	0.00516535	0.00333047
218.96	0.00200494	8.8355E-4	0.00190307
219.42	2.7192E-4	0.00190307	0.00700064
219.89	-7.4759E-4	-0.00380614	0.0025147
220.35	-8.8355E-4	0.00319451	0.0024806
220.82	-0.00169933	-5.7754E-4	0.00421402
221.28	-0.00210681	2.3783E-4	0.00197085
221.75	0.0057433	-0.00139331	-6.778E-5
222.21	0.0014274	-9.1764E-4	0.00285481
222.68	0.00101952	0.00244692	0.00193716
223.14	0.00265066	0.00224277	0.00458782
223.61	0.00448595	3.0602E-4	0.00346643
224.07	0.00519945	0.00468969	0.00316042
224.54	-0.00237873	-2.3783E-4	7.8168E-4
225	0.00169933	0.006083	6.778E-5
225.47	0.00271884	0.0039421	0.00363608
225.93	-0.00200494	-9.8542E-4	-0.00169933
226.4	0.00448595	0.00265066	0
226.86	-8.1577E-4	2.0374E-4	-3.0602E-4
227.33	0.0025147	9.8542E-4	0.00434999
227.79	0.00282071	1.7005E-4	0.00139331
228.26	0.00244692	7.135E-4	0.00203903
228.72	0.00146149	0.00176711	-1.7005E-4
229.18	0.00227686	9.5174E-4	0.00268475
229.65	0.00108729	0.00190307	-6.4572E-4
230.11	0.00152927	0	0.00203903
230.58	3.0602E-4	0.00285481	0.00336456
231.04	0.00299036	-5.7754E-4	0.00421402
231.51	0.00237873	3.409E-5	-6.778E-5
231.97	0.00567511	0.00302445	0.0018012
232.43	0.00285481	0.00468969	-0.00122326
232.9	0.00387432	-7.135E-4	5.0976E-4
233.36	0.00316042	-0.00275253	0.00499571
233.83	0.00244692	0.00346643	-8.1577E-4
234.29	-0.00173301	0.00672872	0.00448595
234.75	-8.1577E-4	0.00519945	0.00285481
235.22	-0.0014274	0.00285481	0.00367017
235.68	0.0021409	-6.1163E-4	0.00265066
236.14	0.00193716	0.00224277	0.00458782
236.61	0.00203903	0.00316042	0.00326229
237.07	-0.00115548	2.7192E-4	0.0053695
237.53	-0.00173301	6.1163E-4	-0.00183529
238	7.135E-4	0.00275253	0.00254879
238.46	0.00285481	0.0035683	0.00275253
238.93	9.1764E-4	-9.1764E-4	0.00438408
239.39	4.0789E-4	-0.00519945	6.1163E-4
239.85	0.00373836	0.00118957	0.00261657
240.31	0.00455373	0.00312632	0.0032286
240.78	0.00217499	0.00421402	0.00278662
241.24	0.00292258	-2.3783E-4	0.00424812
241.7	0.00547137	1.7005E-4	0.00373836
242.17	-2.0374E-4	0.00295668	0.0014274
242.63	0.00271884	-0.00105361	0.00271884
243.09	-2.0374E-4	0.00224277	0.00275253
243.56	9.5174E-4	0.00176711	0.00217499
244.02	0.00203903	0.00203903	0.00448595
244.48	0.00200494	-0.00227686	0.00241283
244.94	0.00193716	0.00101952	-3.0602E-4
245.41	-0.00237873	4.7567E-4	-1.3596E-4
245.87	6.1163E-4	0.00122326	-6.1163E-4
246.33	-6.4572E-4	-3.409E-5	3.738E-4
246.8	0.00645679	0.00635492	0.00502939
247.26	0.0018012	0.00169933	0.00271884
247.72	0.00176711	-0.00434999	0.00288849
248.18	7.135E-4	-0.00285481	-0.00193716
248.64	-7.4759E-4	-6.4572E-4	0.00282071
249.11	0.00135922	0.00431589	0.00513167
249.57	-5.7754E-4	0.00299036	0.00472378
250.03	0.00156336	0.00176711	0.0036024
250.49	0.00152927	0.00316042	0.00530132
250.96	-0.00421402	-0.00105361	0.00312632
251.42	0.00163114	0.00265066	0.0057092
251.88	1.0187E-4	0.00112139	0.00295668
252.34	-3.397E-4	-6.4572E-4	-5.4385E-4
252.8	2.7192E-4	-0.00197085	9.8542E-4
253.27	-0.00139331	0.00227686	6.4572E-4
253.73	2.0374E-4	0.00112139	0.00224277
254.19	-3.397E-4	-0.0024806	-0.00115548
254.65	0.00275253	-3.0602E-4	-0.0014274
255.11	0.00377204	0.00632083	0.0035683
255.57	0.00101952	0.00468969	0.00122326
256.04	4.4198E-4	-0.00159705	0.00288849
256.5	0.00190307	0.00139331	0.0039421
256.96	0.00299036	-5.7754E-4	0.00421402
257.42	0.00499571	0.00183529	0.00183529
257.88	3.409E-5	0.00309264	0.00319451
258.34	-7.8168E-4	6.4572E-4	4.4198E-4
258.8	0.00254879	0.00132553	0.0021409
259.27	0.00203903	0.00173301	0.00367017
259.73	0.00224277	0.00224277	0.00489343
260.19	0.00400988	-0.00159705	0.00451963
260.65	0.00431589	0.00115548	0.00288849
261.11	-0.00193716	0.00254879	0.00295668
261.57	0.00319451	0.00156336	3.397E-4
262.03	0.0025147	0.00190307	-0.00186898
262.49	0.00632083	0.00101952	0.00285481
262.95	0.00244692	8.1577E-4	-0.00132553
263.41	-3.397E-4	-0.00135922	0.00169933
263.88	-0.00666094	-1.3596E-4	-0.00319451
264.34	-4.7567E-4	0.00125735	0.00288849
