Wavelength_(nm)	S2_1.3uJ(arb.units)	S2_15uJ(arb.units)	S2_400uJ(arb.units)
189.07	0.0025147	0.00190307	4.7567E-4
189.54	0.0025147	0.00190307	4.7567E-4
190.01	0.0025147	0.00190307	4.7567E-4
190.48	-3.738E-4	0.00370427	4.4198E-4
190.95	5.7754E-4	9.8542E-4	0.0018012
191.41	-1.3596E-4	0.00220909	0.00129144
191.88	0.00411215	0.00207312	0.00329638
192.35	0.0021409	0.00316042	0.00224277
192.82	-0.00183529	-0.00224277	-8.1577E-4
193.29	6.7981E-4	4.7567E-4	-0.00400988
193.75	0.00207312	0.00156336	-8.8355E-4
194.22	0.00316042	0.00275253	3.0602E-4
194.69	0.00183529	0.00295668	-0.00224277
195.16	0.00237873	-6.778E-5	0.00125735
195.63	3.738E-4	0.00149518	-0.00421402
196.09	-0.00411215	-0.00482565	0.00312632
196.56	0.00275253	0.00132553	0.00397619
197.03	4.7567E-4	0.0018012	0.00210681
197.5	0.00112139	0.0021409	5.0976E-4
197.96	-0.00115548	8.8355E-4	-7.4759E-4
198.43	-0.00152927	0.00101952	-0.00234505
198.9	0.00169933	0.0032286	0.0039421
199.37	-0.00285481	-8.1577E-4	0.0057092
199.83	9.8542E-4	0.00210681	-0.00156336
200.3	-0.00156336	0.0025147	0.00312632
200.77	0.00118957	-6.4572E-4	0.00200494
201.24	0.00166524	0.00288849	0.00278662
201.7	0.00363608	-0.00105361	0.00485974
202.17	-0.00190307	-6.7981E-4	0.00380614
202.64	0.0014274	0.00163114	5.0976E-4
203.1	-0.00101952	3.0602E-4	2.0374E-4
203.57	-0.00207312	-2.3783E-4	0.00343234
204.04	6.7981E-4	-0.00227686	0.00169933
204.51	0.00309264	0.00268475	0.00329638
204.97	0.00203903	7.135E-4	0.00387432
205.44	-0.00295668	-0.00448595	0.00336456
205.91	0.00271884	0.00282071	3.738E-4
206.37	0.00316042	0.00234505	0.00285481
206.84	-0.00132553	-7.135E-4	0.00509758
207.31	0.00105361	-5.7754E-4	3.397E-4
207.77	0.00176711	0.00105361	3.409E-5
208.24	0.00438408	0.00458782	0.00479156
208.71	0.00200494	-8.4946E-4	-4.4198E-4
209.17	0.00186898	9.5174E-4	-0.00220909
209.64	0.00237873	7.4759E-4	0.00482565
210.1	0.00122326	0.00244692	0.00336456
210.57	0.00244692	0.00152927	4.0789E-4
211.04	-5.0976E-4	9.1764E-4	0.00275253
211.5	-0.00135922	1.7005E-4	0.00108729
