Time (ns)	S2_0.6uJ(%)	S2_2.3uJ(%)	S2_6.6uJ(%)	S2_15uJ(%)
-10.20642	99.34	99.42	99.4222222222222	99.3444444444444
-10.18142	99.2666666666667	99.4911111111111	99.3777777777778	99.2533333333333
-10.15642	99.2333333333333	99.6066666666667	99.2888888888889	99.1133333333333
-10.13142	99.2244444444445	99.7177777777778	99.2044444444444	98.9888888888889
-10.10642	99.2	99.78	99.1177777777778	98.9266666666667
-10.08142	99.1733333333333	99.8066666666667	98.9911111111111	98.9311111111111
-10.05642	99.16	99.8244444444445	98.8466666666667	98.9911111111111
-10.03142	99.1555555555556	99.8133333333333	98.7711111111111	99.0666666666667
-10.00642	99.16	99.7511111111111	98.7977777777778	99.1222222222222
-9.98142	99.1711111111111	99.6711111111111	98.8577777777778	99.18
-9.95642	99.1711111111111	99.6266666666667	98.8888888888889	99.2888888888889
-9.93142	99.1244444444445	99.5911111111111	98.9133333333333	99.4266666666667
-9.90642	99.0533333333333	99.5066666666667	98.9666666666667	99.5355555555555
-9.88142	99.0488888888889	99.3955555555555	99.04	99.6022222222222
-9.85642	99.1733333333333	99.2977777777778	99.1177777777778	99.6777777777778
-9.83142	99.3755555555556	99.2222222222222	99.2155555555556	99.7822222222222
-9.80642	99.56	99.1466666666667	99.3466666666667	99.8711111111111
-9.78142	99.7044444444445	99.0933333333333	99.4955555555556	99.8822222222222
-9.75642	99.8533333333333	99.0755555555556	99.6155555555556	99.8288888888889
-9.73142	100.002222222222	99.0644444444444	99.68	99.7533333333333
-9.70642	100.08	99.0488888888889	99.6933333333333	99.6822222222222
-9.68142	100.086666666667	99.0511111111111	99.6711111111111	99.6111111111111
-9.65642	100.066666666667	99.0733333333333	99.6088888888889	99.5466666666667
-9.63142	100.035555555556	99.1022222222222	99.5177777777778	99.4977777777778
-9.60642	99.96	99.1555555555556	99.4244444444444	99.4755555555556
-9.58142	99.8577777777778	99.2288888888889	99.3644444444445	99.4977777777778
-9.55642	99.7666666666667	99.2822222222222	99.3622222222222	99.5777777777778
-9.53142	99.6688888888889	99.2844444444444	99.4333333333333	99.6933333333333
-9.50642	99.5577777777778	99.2644444444445	99.5355555555555	99.7777777777778
-9.48142	99.4688888888889	99.2488888888889	99.5955555555556	99.7933333333333
-9.45642	99.4266666666667	99.2155555555556	99.5955555555556	99.7755555555556
-9.43142	99.4088888888889	99.14	99.5955555555556	99.7511111111111
-9.40642	99.3888888888889	99.0444444444444	99.5866666666667	99.6888888888889
-9.38142	99.3711111111111	99	99.52	99.5577777777778
-9.35642	99.3355555555556	99.0244444444444	99.42	99.3933333333333
-9.33142	99.2666666666667	99.0888888888889	99.3822222222222	99.2711111111111
-9.30642	99.2044444444444	99.1666666666667	99.42	99.2266666666667
-9.28142	99.1977777777778	99.2622222222222	99.4511111111111	99.2422222222222
-9.25642	99.2533333333333	99.3755555555556	99.4488888888889	99.2822222222222
-9.23142	99.3466666666667	99.4933333333333	99.4488888888889	99.3266666666667
-9.20642	99.4488888888889	99.5688888888889	99.4577777777778	99.3733333333333
-9.18142	99.5288888888889	99.6044444444445	99.4111111111111	99.4111111111111
-9.15642	99.5666666666667	99.6333333333333	99.2888888888889	99.4555555555556
-9.13142	99.5733333333333	99.7022222222222	99.18	99.5377777777778
-9.10642	99.6088888888889	99.8022222222222	99.1355555555556	99.6688888888889
-9.08142	99.6911111111111	99.8955555555556	99.1044444444445	99.7688888888889
-9.05642	99.7688888888889	99.9511111111111	99.0444444444444	99.7888888888889
-9.03142	99.8044444444444	99.9555555555556	99.0133333333333	99.7088888888889
-9.00642	99.8155555555556	99.9533333333333	99.0511111111111	99.5733333333333
-8.98142	99.82	99.9688888888889	99.0911111111111	99.4111111111111
-8.95642	99.8066666666667	99.9733333333333	99.0444444444444	99.26
-8.93142	99.76	99.9044444444444	98.9577777777778	99.16
-8.90642	99.7066666666667	99.7511111111111	98.9311111111111	99.1022222222222
-8.88142	99.66	99.5511111111111	98.9644444444445	99.04
-8.85642	99.6177777777778	99.3577777777778	98.9822222222222	98.9377777777778
-8.83142	99.5577777777778	99.1644444444444	98.9622222222222	98.84
-8.80642	99.5	98.9777777777778	98.9755555555556	98.8155555555556
-8.78142	99.4666666666667	98.8288888888889	99.0755555555556	98.8577777777778
-8.75642	99.4511111111111	98.7555555555556	99.2111111111111	98.9088888888889
-8.73142	99.4377777777778	98.7622222222222	99.2977777777778	98.9666666666667
-8.70642	99.4	98.82	99.3333333333333	99.0755555555556
