time (ns)	S2_61uJ(%)	S2_176uJ(%)	S2_400uJ(%)	
-38.025	99.01459	101.160146	98.153992
-38	99.367451	101.19313	98.411675
-37.975	99.69718	101.339835	98.598583
-37.95	100.004434	101.61617	98.83275
-37.925	100.264434	101.982319	99.136625
-37.9	100.456885	102.274929	99.339483
-37.875	100.655943	102.372574	99.37865
-37.85	100.886041	102.315739	99.40175
-37.825	101.078131	102.217922	99.52675
-37.8	101.223508	102.022826	99.675025
-37.775	101.392123	101.665243	99.791508
-37.75	101.606877	101.176983	99.869775
-37.725	101.814197	100.753687	99.908642
-37.7	101.921107	100.517661	99.79155
-37.675	101.91368	100.460829	99.4559
-37.65	101.798516	100.53387	99.027325
-37.625	101.51468	100.639769	98.723633
-37.6	101.077508	100.697037	98.683992
-37.575	100.663869	100.615611	98.856142
-37.55	100.433254	100.339035	99.113525
-37.525	100.364631	99.882887	99.324008
-37.5	100.334074	99.297609	99.495675
-37.475	100.364164	98.711157	99.658775
-37.45	100.51018	98.215261	99.908592
-37.425	100.732369	97.808183	100.24425
-37.4	100.847762	97.474896	100.634133
-37.375	100.801861	97.279435	101.008
-37.35	100.594303	97.352417	101.280617
-37.325	100.372238	97.718504	101.351033
-37.3	100.241967	98.222913	101.1955
-37.275	100.226566	98.719557	100.945675
-37.25	100.249402	99.167504	100.797525
-37.225	100.218672	99.582409	100.774375
-37.2	100.149533	99.932157	100.80485
-37.175	100.057975	100.184017	100.805383
-37.15	99.904295	100.411904	100.719375
-37.125	99.673852	100.623522	100.493117
-37.1	99.413426	100.697052	100.173592
-37.075	99.252303	100.55867	99.92395
-37.05	99.244746	100.314383	99.814658
-37.025	99.360016	100.135748	99.783583
-37	99.528451	100.070035	99.736675
-36.975	99.72827	100.111096	99.721267
-36.95	99.942967	100.192643	99.8071
-36.925	100.219148	100.249043	99.970783
-36.9	100.609779	100.175748	100.025483
-36.875	101.078164	100.038052	99.885058
-36.85	101.445557	100.029661	99.643092
-36.825	101.629984	100.248852	99.409817
-36.8	101.668623	100.566183	99.214642
-36.775	101.744967	100.810661	99.074233
-36.75	101.821951	100.940913	98.988167
-36.725	101.744902	101.021965	98.933467
-36.7	101.39227	101.095565	98.840017
-36.675	100.840107	101.16867	98.754433
-36.65	100.188066	101.258365	98.816942
-36.625	99.590172	101.380661	98.988317
-36.6	99.214361	101.4778	99.113615
-36.575	99.12191	101.493817	99.207007
-36.55	99.15259	101.412696	99.370158
-36.525	99.068402	101.177165	99.557592
-36.5	98.86132	100.705061	99.674975
-36.475	98.746098	100.078235	99.744733
-36.45	98.89159	99.516678	99.877225
-36.425	99.32168	99.16693	100.001867
-36.4	99.881738	99.045504	100.002167
-36.375	100.402631	99.077739	99.979008
-36.35	100.740508	99.329661	100.119492
-36.325	100.793967	99.802087	100.46205
-36.3	100.601869	100.28967	100.828533
-36.275	100.302861	100.525696	101.116983
-36.25	100.011533	100.509487	101.296567
-36.225	99.850467	100.395765	101.319483
-36.2	99.80491	100.265209	101.124783
-36.175	99.788926	100.062104	100.859842
