Time(ns)	Amplitude(arb. Unit)		
-56.135	99.01459
-56.11	99.367451
-56.085	99.69718
-56.06	100.004434
-56.035	100.264434
-56.01	100.456885
-55.985	100.655943
-55.96	100.886041
-55.935	101.078131
-55.91	101.223508
-55.885	101.392123
-55.86	101.606877
-55.835	101.814197
-55.81	101.921107
-55.785	101.91368
-55.76	101.798516
-55.735	101.51468
-55.71	101.077508
-55.685	100.663869
-55.66	100.433254
-55.635	100.364631
-55.61	100.334074
-55.585	100.364164
-55.56	100.51018
-55.535	100.732369
-55.51	100.847762
-55.485	100.801861
-55.46	100.594303
-55.435	100.372238
-55.41	100.241967
-55.385	100.226566
-55.36	100.249402
-55.335	100.218672
-55.31	100.149533
-55.285	100.057975
-55.26	99.904295
-55.235	99.673852
-55.21	99.413426
-55.185	99.252303
-55.16	99.244746
-55.135	99.360016
-55.11	99.528451
-55.085	99.72827
-55.06	99.942967
-55.035	100.219148
-55.01	100.609779
-54.985	101.078164
-54.96	101.445557
-54.935	101.629984
-54.91	101.668623
-54.885	101.744967
-54.86	101.821951
-54.835	101.744902
-54.81	101.39227
-54.785	100.840107
-54.76	100.188066
-54.735	99.590172
-54.71	99.214361
-54.685	99.12191
-54.66	99.15259
-54.635	99.068402
-54.61	98.86132
-54.585	98.746098
-54.56	98.89159
-54.535	99.32168
-54.51	99.881738
-54.485	100.402631
-54.46	100.740508
-54.435	100.793967
-54.41	100.601869
-54.385	100.302861
-54.36	100.011533
-54.335	99.850467
-54.31	99.80491
-54.285	99.788926
-54.26	99.650926
-54.235	99.29823
-54.21	98.82323
-54.185	98.431484
-54.16	98.224402
-54.135	98.163402
-54.11	98.247361
-54.085	98.623828
-54.06	99.344377
-54.035	100.203221
-54.01	101.000697
-53.985	101.714623
-53.96	102.312221
-53.935	102.634869
-53.91	102.558344
-53.885	102.205008
-53.86	101.829484
-53.835	101.522574
-53.81	101.200508
-53.785	100.832008
-53.76	100.410762
-53.735	99.926992
-53.71	99.375008
-53.685	98.838549
-53.66	98.3625
-53.635	97.90262
-53.61	97.480907
-53.585	97.17377
-53.56	97.012998
-53.535	96.935946
-53.51	96.905556
-53.485	97.005316
-53.46	97.250861
-53.435	97.53441
-53.41	97.795352
-53.385	98.124746
-53.36	98.593008
-53.335	99.106352
-53.31	99.581811
-53.285	100.004402
-53.26	100.395385
-53.235	100.701992
-53.21	100.932025
-53.185	101.124066
-53.16	101.238992
-53.135	101.147189
-53.11	100.817156
-53.085	100.356566
-53.06	99.8965
-53.035	99.45973
-53.01	99.02273
-52.985	98.65459
-52.96	98.416303
-52.935	98.293467
-52.91	98.232459
-52.885	98.263254
-52.86	98.4625
-52.835	98.853713
-52.81	99.382402
-52.785	99.950016
-52.76	100.517639
-52.735	101.047385
-52.71	101.469279
-52.685	101.65282
-52.66	101.568631
-52.635	101.292279
-52.61	100.947484
-52.585	100.602516
-52.56	100.233893
-52.535	99.850352
-52.51	99.566574
-52.485	99.528525
-52.46	99.651598
-52.435	99.712377
-52.41	99.604943
