Wavelength(nm)	Pump_35(uJ)	Pump_73(uJ)	Pump_140(uJ)	Pump_260(uJ)	Pump_400(uJ)
189.07	-0.00344016	5.2917E-4	7.058E-4	-8.8208E-4	-0.00202891	-1.7627E-4
189.54	-0.00344016	5.2917E-4	7.058E-4	-8.8208E-4	-0.00202891	-1.7627E-4
190.01	-0.00344016	5.2917E-4	7.058E-4	-8.8208E-4	-0.00202891	-1.7627E-4
190.48	-3.529E-4	0.00114684	-4.4104E-4	-3.529E-4	0.00149939	0.00141125
190.95	-8.814E-5	7.9394E-4	1.7627E-4	-9.7021E-4	0.00105835	7.058E-4
191.41	8.8208E-4	6.1731E-4	0.00211705	-6.1731E-4	3.529E-4	0.00238146
191.88	0.00264623	0.00194042	0.00194042	0.00141125	0.00264623	0.00141125
192.35	-0.00264623	0.00105835	-0.0028225	-0.00114684	-0.00202891	-0.00485141
192.82	0.00141125	0.00246995	0.00238146	-0.00105835	-7.058E-4	0
193.29	0.00396934	0.00335203	0.00149939	0.0031754	0.00194042	0.00617453
193.75	-0.00167601	-5.2917E-4	-5.2917E-4	-2.6476E-4	-0.00141125	-8.8208E-4
194.22	0.00167601	0.00326354	0.00255809	0.00194042	0.00132311	0.00123498
194.69	-0.00185229	-8.8208E-4	-1.7627E-4	-7.9394E-4	-0.00299913	-1.7627E-4
195.16	0.00105835	-7.058E-4	2.6476E-4	3.529E-4	-0.00105835	1.7627E-4
195.63	-0.00273436	8.814E-5	-0.00132311	-0.00246995	-0.00185229	-9.7021E-4
196.09	0.00185229	0.00114684	0.00202891	0.00379306	3.529E-4	0.00308726
196.56	0.00202891	0	0.00141125	8.814E-5	-0.00185229	0.00255809
197.03	-0.00176415	-0.00114684	-7.9394E-4	0.00335203	0.00202891	-7.9394E-4
197.5	-0.00246995	-1.7627E-4	-0.00361644	-0.00370458	-1.7627E-4	-8.814E-5
197.96	7.058E-4	7.058E-4	0.0031754	0.00211705	0.00238146	0.0028225
198.43	0.00220519	0.00185229	-1.7627E-4	0.00105835	7.058E-4	0.00141125
198.9	-7.9394E-4	0.00141125	0.00176415	0.0035283	6.1731E-4	-0.00105835
199.37	5.2917E-4	8.8208E-4	0.00176415	2.6476E-4	-0.00176415	0.00211705
199.83	-0.00141125	-0.00255809	-0.00441038	-6.1731E-4	-0.00149939	-0.00211705
200.3	-8.8208E-4	5.2917E-4	0.0031754	0.00211705	0.00114684	8.8208E-4
200.77	0.00308726	0.00149939	7.9394E-4	0.00299913	0.00176415	-5.2917E-4
201.24	-0.00158788	-0.00105835	-0.00370458	-7.058E-4	-0.0031754	-0.00211705
201.7	6.1731E-4	-2.6476E-4	-7.058E-4	7.9394E-4	-8.8208E-4	-0.00441038
202.17	1.7627E-4	9.7021E-4	0.00220519	0.00141125	-0.00255809	-7.058E-4
202.64	0.00167601	2.6476E-4	8.8208E-4	0.00194042	-7.9394E-4	-8.814E-5
203.1	0.00264623	8.814E-5	0.00238146	0.00238146	-7.058E-4	0.00220519
203.57	0.00132311	3.529E-4	0.00202891	3.529E-4	0.00246995	0.00123498
204.04	0.00149939	0.00546873	0.00335203	0.00211705	0.00573349	0.00485141
204.51	-0.00344016	-0.00255809	0.00405748	8.8208E-4	0.00149939	0.00123498
204.97	-5.2917E-4	-0.00176415	-7.9394E-4	-0.00149939	0.00141125	-7.058E-4
205.44	-0.00291099	-0.00264623	-0.00238146	-8.814E-5	-0.0031754	-0.00176415
205.91	0.00229333	-3.529E-4	0.00493955	-1.7627E-4	3.529E-4	4.4104E-4
206.37	5.2917E-4	2.6476E-4	8.814E-5	-3.529E-4	-8.8208E-4	-2.6476E-4
206.84	0.00255809	0.0059979	0.00396934	0.00555686	0.00220519	0.00396934
207.31	-0.00273436	-0.00211705	-0.00176415	-0.00123498	-0.00123498	-0.00211705
207.77	0.00114684	-0.00326354	-3.529E-4	7.9394E-4	-1.7627E-4	-0.00105835
208.24	-0.00485141	-0.0035283	-0.00211705	-0.00220519	-0.00529245	-0.00149939
208.71	-0.00273436	-5.2917E-4	-0.00238146	-0.00229333	-0.00467479	-0.00149939
209.17	-8.814E-5	0.00441038	0.00167601	0.00370458	7.9394E-4	0.00379306
209.64	8.8208E-4	0.00194042	-0.00141125	8.814E-5	0.00255809	-7.058E-4
210.1	-0.00114684	0.00211705	0.00105835	8.814E-5	0.00132311	-0.00211705
210.57	-6.1731E-4	-0.00194042	-0.00211705	-0.00176415	-1.7627E-4	-0.00370458
211.04	-0.00467479	-0.00202891	-0.00291099	-0.00344016	-0.0031754	-0.00476328
211.5	-8.8208E-4	-0.00167601	0.00211705	6.1731E-4	-0.00238146	3.529E-4
211.97	8.814E-5	9.7021E-4	7.058E-4	-6.1731E-4	4.4104E-4	0.00246995
212.44	-0.00185229	-0.0028225	1.7627E-4	1.7627E-4	-0.00185229	-1.7627E-4
212.9	9.7021E-4	4.4104E-4	-7.058E-4	1.7627E-4	0.00149939	-0.00238146
213.37	6.1731E-4	-0.00211705	-2.6476E-4	1.7627E-4	-0.00123498	-9.7021E-4
213.83	0.00273436	0.00379306	0.00105835	0.00141125	0.00132311	0.00229333
214.3	0.0028225	0.00449851	0.0035283	0.00441038	0.00105835	0.00299913
214.77	0.00149939	0.00176415	0.00220519	-2.6476E-4	-4.4104E-4	-0.00255809
215.23	0.00185229	0.0028225	7.058E-4	0.00167601	0.00105835	8.8208E-4
215.7	-8.8208E-4	0.00246995	7.9394E-4	0.00114684	0.00132311	-0.00167601
216.16	0.00238146	9.7021E-4	0.00194042	7.058E-4	0.00149939	2.6476E-4
